row_number,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,usn_category,usn_category_rank,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,slogan,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,n_category,n_grade,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website
0,597478e0-1c54-4096-8ffd-3d20c986c199,Adams State University,719-587-7011,208 Edgemont Blvd,Alamosa,CO,81101,http://www.adams.edu/,861.58276,20,490,500,N/A,3.14,0.99,1959,1142,Rocky Mountains,N/A,Top Performers on Social Mobility,71,0.59,N/A,public,N/A,N/A,N/A,Great stories begin here.,Rocky Mountain Athletic Conference,National Collegiate Athletic Association,N/A,Grizzly bear,Green and white,3467,N/A,N/A,N/A,Liberal Arts and Humanities:Business:Kinesiology and Exercise Science:Nursing:Sociology:Psychology:Biology:English:Political Science and Government:Studio Arts,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,C+:C+:A:C:B+:B-:B-:C-:B+:C+:C:C,"35,200",0.29,0.87,"8,447",30,0.38,Rolling Admissions,adams.edu/admissions/apply-online
1,9a459c7e-8ece-42e0-9f49-5e657fa063a4,Abilene Christian University,325-674-2000, ,Abilene,TX,79699,http://www.acu.edu/,1176.6907,24,558,571,502,3.61,0.62,3525,1767,Southwest,"Business Administration and Management, General:Accounting:Registered Nursing/Registered Nurse:Psychology, General:Sport and Fitness Administration/Management",Regional Universities West:Best Colleges for Veterans:Best Undergraduate Teaching:Best Value Schools:Most Innovative Schools:Top Performers on Social Mobility:Best Undergraduate Engineering Programs:First-Year Experiences:Learning Communities:Service Learning:Undergraduate Research/Creative Projects,15:9:3:9:4:99:123:4:9:10:44,0.77,14:1,private,city,N/A,262 acres,,Council for Christian Colleges and Universities:National Association of Independent Colleges and Universities,NCAA Division I,Phil Schubert,Willie the Wildcat,Purple and White,4427,https://www.topuniversities.com/sites/default/files/abilene-christian-university_592560e09988f300e2320c0c_small.jpg,,251-300,Business:Psychology:Marketing:Nursing:Sport and Fitness Management:Accounting:Liberal Arts and Humanities:Finance:Biology:Elementary Education,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,A-:B:A-:B:B+:C:B+:C+:B+:B-:B:B,"43,000",0.61,0.93,"18,599",50,0.12,,acuadmissions.org/start/apply.htm
2,53cc3b87-ff1f-4989-bd8b-b1c34a8f7f33,Abraham Baldwin Agricultural College,229-391-5001,2802 Moore Hwy,Tifton,GA,31793,http://www.abac.edu/,671.65466,N/A,N/A,N/A,N/A,2.85,0.79,3327,0,Southeast,N/A,Top Performers on Social Mobility,67,0.65,N/A,public,campus,N/A,400 acres,,,,N/A,N/A,Green and Gold,3665,N/A,N/A,N/A,Liberal Arts and Humanities:Agriculture:Nursing:Managerial Economics:Forestry:Biology:Wildlife and Fisheries Management:Arts:Landscaping and Groundskeeping:Crop and Soil Sciences,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,C+:C+:A-:A-:C:C+:B-:B-:A:A:B:B+,"32,900",0.23,0.9,"5,432",20,0.04,Rolling Admissions,abac.edu/future-students
3,02cc42e8-dac9-4948-aea1-80d52670759e,Academy of Art University,415-274-2200,79 New Montgomery,San Francisco,CA,94105-3410,http://www.academyart.edu/,867.09937,N/A,N/A,N/A,N/A,N/A,1,6694,3132,Far West,Visual and Performing Arts:Computer and Information Sciences and Support Services:Communications Technologies/Technicians and Support Services:Engineering Technologies and Engineering-Related Fields:Family and Consumer Sciences/Human Sciences,Top Performers on Social Mobility,122,0.74,14:1,proprietary,semester,N/A,N/A,Built by artists for artists,,National Collegiate Athletic Association,Elisa Stephens,N/A,BlackandRed,15212,N/A,N/A,N/A,,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,C:C:B:B-:NG:NG:C+:C+:NG:NG:C+:A+,"30,300",0.22,0.88,"6,086",0,N/A,,
4,10b4265b-30c3-4af1-a415-72a49ca501f7,Arcadia University,215-572-2900,450 S Easton Rd,Glenside,PA,19038-3295,http://www.arcadia.edu/,1271.6548,25,562,581,538,3.69,0.66,2151,1314,Mid East,"Biology/Biological Sciences, General:Psychology, General:International/Global Studies:Criminology:Health/Health Care Administration/Management",Regional Universities North:Best Undergraduate Teaching:Top Performers on Social Mobility:Study Abroad,45:16:98:4,0.78,12:1,private,campus,N/A,76 acres,,,,N/A,Knight (formally named Sir Castor),Scarlet and Grey,4000,N/A,N/A,N/A,Biology:Psychology:International Business:Healthcare Management:Communications:Education:International Studies:Creative Writing:Sociology:Criminology,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,B:B:A-:D+:B-:C-:B-:B-:C-:D+:C-:B-,"44,100",0.66,0.93,"28,365",30,0.16,,arcadia.edu/admissions/undergraduate/how-apply
5,240d058f-829d-4abc-902f-77a7f529fb02,Adrian College,517-265-5161,110 S Madison St,Adrian,MI,49221-2575,http://www.adrian.edu/,1064.4604,23,N/A,N/A,N/A,3.23,0.56,1647,9,Great Lakes,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Biological and Biomedical Sciences:Visual and Performing Arts:Health Professions and Related Programs",Regional Colleges Midwest:Best Undergraduate Teaching:Best Value Schools:Most Innovative Schools:Top Performers on Social Mobility:First-Year Experiences:Senior Capstone,17:6:16:2:27:23:19,0.67,13:1,private,city,N/A,132 acres,,United Methodist Church,,N/A,Bruiser,Black and Gold,1654,N/A,N/A,N/A,Sport and Fitness Management:Business:Kinesiology and Exercise Science:Biology:Marketing:Accounting:Criminal Justice and Law Enforcement Administration:Social Work and Youth Services:Studio Arts:Communications,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,B-:B:A-:C:B:B-:B:C:C+:C-:C:C,"38,600",0.52,0.95,"23,491",0,0.42,,apply.adrian.edu
6,cd0fa7fc-08b8-417a-83d4-8971e189c22a,Adelphi University,516-877-3000,South Ave,Garden City,NY,11530-0701,http://www.adelphi.edu/,1146.4749,25,589,586,552,3.52,0.74,5391,2758,Mid East,"Registered Nursing/Registered Nurse:Psychology, General:Biology/Biological Sciences, General:Business Administration and Management, General:Kinesiology and Exercise Science",National Universities:Best Colleges for Veterans:Best Value Schools:Top Performers on Social Mobility,170:124:72:80,0.81,11:1,private,campus,N/A,75 acres,"Literal translation: ""Life without learning is death"":""The Truth Shall Make Us Free"":(from Epistulae morales ad Lucilium bySeneca the Younger):Vita Sine Litteris Mors Est",,National Collegiate Athletic Association,Christine Riordan,Panther,BrownandGold,7859,https://www.topuniversities.com/sites/default/files/adelphi-university-_592560cf2aeae70239af5179_small.jpg,,181-190,Nursing:Business:Psychology:Sport and Fitness Management:Biology:Social Science Research Methods:Communications:Social Work and Youth Services:Accounting:Liberal Arts and Humanities,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,B+:A-:A:B+:B:B-:B:A:C+:C:B+:A-,"58,500",0.68,0.94,"20,425",40,0.08,Rolling Admissions,admissions.adelphi.edu/onlineapp.php
7,f9406eed-7a47-4a2d-8864-b924e8f36342,Alabama Agricultural and Mechanical University,256-372-5000,4900 Meridian Street,Huntsville,AL,35811,http://www.aamu.edu/,927.53094,N/A,N/A,N/A,N/A,N/A,0.51,4940,874,Southeast,"Biology/Biological Sciences, General:Business Administration and Management, General:Criminal Justice/Law Enforcement Administration:Electrical and Electronics Engineering:Radio and Television Broadcasting Technology/Technician",Top Performers on Social Mobility:Historically Black Colleges and Universities:Best Undergraduate Engineering Programs,66:37:157,0.58,20:1,public,campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,cb46695a-4b3b-40ae-937b-1a20bc7af032,Agnes Scott College,404-471-6000,141 E. College Ave.,Decatur,GA,30030-3797,http://www.agnesscott.edu/,900.4317,27,600,640,587,3.75,0.65,1005,62,Southeast,"Public Health, General:Neuroscience:Business Administration and Management, General:Psychology, General:Social Sciences, Other",National Liberal Arts Colleges:Best Undergraduate Teaching:Best Value Schools:Most Innovative Schools:Top Performers on Social Mobility:First-Year Experiences:Learning Communities:Senior Capstone:Service Learning:Co-ops/Internships:Writing in the Disciplines:Study Abroad:Undergraduate Research/Creative Projects,61:2:24:1:6:1:3:9:21:14:20:6:33,0.84,10:1,private,campus,N/A,100 acres,"""Educating women to think deeply, live honorably and engage the intellectual and social challenges of their times.""",Association of Presbyterian Colleges and Universities:Presbyterian Church (USA):Oberlin Group:Annapolis Group:Council of Independent Colleges:Women's College Coalition,National Collegiate Athletic Association,Elizabeth Kiss,Scottie dog,PurpleandWhite,N/A,N/A,N/A,N/A,Public Health:Psychology:Business:Mathematics:Creative Writing:Economics:Biochemistry and Molecular Biology:English:Neuroscience and Neurobiology:History,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,A-:B+:A:B+:NG:B-:A:A:B:B-:A:B+,"39,400",0.66,0.88,"29,066",0,N/A,March 15,agnesscott.edu/admission/high-school-students/how-to-apply.html
9,466d89a9-702e-46ba-a954-3eb9d529e6dc,Alabama State University,334-229-4100,915 S Jackson Street,Montgomery,AL,36101-0271,http://www.alasu.edu/,949.1137,18,470,486,N/A,3.09,0.97,3750,440,Southeast,"Health Information/Medical Records Administration/Administrator:Business Administration and Management, General:Criminal Justice/Safety Studies:Elementary Education and Teaching:Speech Communication and Rhetoric",Regional Universities South:Top Performers on Social Mobility:Top Public Schools:Historically Black Colleges and Universities,94:93:44:38,0.6,15:1,public,campus,N/A,172 acres,Opportunity is Here.,Thurgood Marshall College Fund,NCAA Division I,N/A,N/A,Black and Old gold,6075,N/A,N/A,N/A,Rehabilitation and Therapy:Communications:Biology:Criminal Justice and Safety Studies:Psychology:Information Science:Social Work and Youth Services:Elementary Education:Business:Accounting,Academics:Value:Diversity:Campus:Athletics:Party Scene:Professors:Location:Dorms:Campus Food:Student Life:Safety,B-:C:B:C-:B+:A:B:C:D:C+:C+:C+,"27,700",0.28,0.92,"7,611",25,0.09,,alasu.edu/admissions/undergrad-admissions/index.aspx
