row_index,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,motto,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website,tuitionFees
0,183e4b3f-b9d2-4f7e-8cdc-3c0c0e7c8a9f,Adams State University,719-587-7011,208 Edgemont Blvd,Alamosa,CO,81101,http://www.adams.edu/,861.58276,20,490,500,N/A,3.14,0.99,1959,1142,Rocky Mountains,N/A,0.59,N/A,public,N/A,N/A,N/A,Great stories begin here.,Rocky Mountain Athletic Conference,National Collegiate Athletic Association,N/A,Grizzly bear,Green and white,3467,N/A,N/A,N/A,Liberal Arts and Humanities:Business:Kinesiology and Exercise Science:Nursing:Sociology:Psychology:Biology:English:Political Science and Government:Studio Arts,"35,200",0.29,0.87,"8,447",30,0.38,Rolling Admissions,adams.edu/admissions/apply-online,12989.0
1,00597598-05dc-45dc-b9da-230af71b4d97,Abilene Christian University,325-674-2000,N/A,Abilene,TX,79699,http://www.acu.edu/,1176.6907,24,558,571,502,3.61,0.62,3525,1767,Southwest,"Business Administration and Management, General:Accounting:Registered Nursing/Registered Nurse:Psychology, General:Sport and Fitness Administration/Management",0.77,14:1,private,city,N/A,262 acres,N/A,Council for Christian Colleges and Universities:National Association of Independent Colleges and Universities,NCAA Division I,Phil Schubert,Willie the Wildcat,Purple and White,4427,https://www.topuniversities.com/sites/default/files/abilene-christian-university_592560e09988f300e2320c0c_small.jpg,N/A,251-300,Business:Psychology:Marketing:Nursing:Sport and Fitness Management:Accounting:Liberal Arts and Humanities:Finance:Biology:Elementary Education,"43,000",0.61,0.93,"18,599",50,0.12,N/A,acuadmissions.org/start/apply.htm,27175.0
2,5235ada4-00d4-44a0-b2f2-f9cb1149c201,Abraham Baldwin Agricultural College,229-391-5001,2802 Moore Hwy,Tifton,GA,31793,http://www.abac.edu/,671.65466,N/A,N/A,N/A,N/A,2.85,0.79,3327,0,Southeast,N/A,0.65,N/A,public,campus,N/A,400 acres,N/A,N/A,N/A,N/A,N/A,Green and Gold,3665,N/A,N/A,N/A,Liberal Arts and Humanities:Agriculture:Nursing:Managerial Economics:Forestry:Biology:Wildlife and Fisheries Management:Arts:Landscaping and Groundskeeping:Crop and Soil Sciences,"32,900",0.23,0.9,"5,432",20,0.04,Rolling Admissions,abac.edu/future-students,8022.0
3,ea93f3c2-8d6a-4272-bc4d-f2ccf53cbccc,Academy of Art University,415-274-2200,79 New Montgomery,San Francisco,CA,94105-3410,http://www.academyart.edu/,867.09937,N/A,N/A,N/A,N/A,N/A,1,6694,3132,Far West,Visual and Performing Arts:Computer and Information Sciences and Support Services:Communications Technologies/Technicians and Support Services:Engineering Technologies and Engineering-Related Fields:Family and Consumer Sciences/Human Sciences,0.74,14:1,proprietary,semester,N/A,N/A,Built by artists for artists,N/A,National Collegiate Athletic Association,Elisa Stephens,N/A,BlackandRed,15212,N/A,N/A,N/A,N/A,"30,300",0.22,0.88,"6,086",0,N/A,N/A,N/A,20251.0
4,cfdd287e-43ab-42f9-8f4b-1604a00d6173,Arcadia University,215-572-2900,450 S Easton Rd,Glenside,PA,19038-3295,http://www.arcadia.edu/,1271.6548,25,562,581,538,3.69,0.66,2151,1314,Mid East,"Biology/Biological Sciences, General:Psychology, General:International/Global Studies:Criminology:Health/Health Care Administration/Management",0.78,12:1,private,campus,N/A,76 acres,N/A,N/A,N/A,N/A,Knight (formally named Sir Castor),Scarlet and Grey,4000,N/A,N/A,N/A,Biology:Psychology:International Business:Healthcare Management:Communications:Education:International Studies:Creative Writing:Sociology:Criminology,"44,100",0.66,0.93,"28,365",30,0.16,N/A,arcadia.edu/admissions/undergraduate/how-apply,27567.0
5,d5007416-a982-45e4-ac55-48020a52652f,Adrian College,517-265-5161,110 S Madison St,Adrian,MI,49221-2575,http://www.adrian.edu/,1064.4604,23,N/A,N/A,N/A,3.23,0.56,1647,9,Great Lakes,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Biological and Biomedical Sciences:Visual and Performing Arts:Health Professions and Related Programs",0.67,13:1,private,city,N/A,132 acres,N/A,United Methodist Church,N/A,N/A,Bruiser,Black and Gold,1654,N/A,N/A,N/A,Sport and Fitness Management:Business:Kinesiology and Exercise Science:Biology:Marketing:Accounting:Criminal Justice and Law Enforcement Administration:Social Work and Youth Services:Studio Arts:Communications,"38,600",0.52,0.95,"23,491",0,0.42,N/A,apply.adrian.edu,26930.0
6,c8bdae27-15ca-40f8-8b31-8f868f50a5fc,Adelphi University,516-877-3000,South Ave,Garden City,NY,11530-0701,http://www.adelphi.edu/,1146.4749,25,589,586,552,3.52,0.74,5391,2758,Mid East,"Registered Nursing/Registered Nurse:Psychology, General:Biology/Biological Sciences, General:Business Administration and Management, General:Kinesiology and Exercise Science",0.81,11:1,private,campus,N/A,75 acres,"Literal translation: ""Life without learning is death"":""The Truth Shall Make Us Free"":(from Epistulae morales ad Lucilium bySeneca the Younger):Vita Sine Litteris Mors Est",N/A,National Collegiate Athletic Association,Christine Riordan,Panther,BrownandGold,7859,https://www.topuniversities.com/sites/default/files/adelphi-university-_592560cf2aeae70239af5179_small.jpg,N/A,181-190,Nursing:Business:Psychology:Sport and Fitness Management:Biology:Social Science Research Methods:Communications:Social Work and Youth Services:Accounting:Liberal Arts and Humanities,"58,500",0.68,0.94,"20,425",40,0.08,Rolling Admissions,admissions.adelphi.edu/onlineapp.php,27925.0
7,a8a6a0bc-5c10-4771-b655-8ab37e232ce6,Alabama Agricultural and Mechanical University,256-372-5000,4900 Meridian Street,Huntsville,AL,35811,http://www.aamu.edu/,927.53094,N/A,N/A,N/A,N/A,N/A,0.51,4940,874,Southeast,"Biology/Biological Sciences, General:Business Administration and Management, General:Criminal Justice/Law Enforcement Administration:Electrical and Electronics Engineering:Radio and Television Broadcasting Technology/Technician",0.58,20:1,public,campus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,70f7efa4-b81e-4518-8b99-a8d09b8b2bf8,Agnes Scott College,404-471-6000,141 E. College Ave.,Decatur,GA,30030-3797,http://www.agnesscott.edu/,900.4317,27,600,640,587,3.75,0.65,1005,62,Southeast,"Public Health, General:Neuroscience:Business Administration and Management, General:Psychology, General:Social Sciences, Other",0.84,10:1,private,campus,N/A,100 acres,"""Educating women to think deeply, live honorably and engage the intellectual and social challenges of their times.""",Association of Presbyterian Colleges and Universities:Presbyterian Church (USA):Oberlin Group:Annapolis Group:Council of Independent Colleges:Women's College Coalition,National Collegiate Athletic Association,Elizabeth Kiss,Scottie dog,PurpleandWhite,N/A,N/A,N/A,N/A,Public Health:Psychology:Business:Mathematics:Creative Writing:Economics:Biochemistry and Molecular Biology:English:Neuroscience and Neurobiology:History,"39,400",0.66,0.88,"29,066",0,N/A,March 15,agnesscott.edu/admission/high-school-students/how-to-apply.html,22121.0
9,4b45e1da-cb41-46b9-ab8d-6b43cecdc23d,Alabama State University,334-229-4100,915 S Jackson Street,Montgomery,AL,36101-0271,http://www.alasu.edu/,949.1137,18,470,486,N/A,3.09,0.97,3750,440,Southeast,"Health Information/Medical Records Administration/Administrator:Business Administration and Management, General:Criminal Justice/Safety Studies:Elementary Education and Teaching:Speech Communication and Rhetoric",0.6,15:1,public,campus,N/A,172 acres,Opportunity is Here.,Thurgood Marshall College Fund,NCAA Division I,N/A,N/A,Black and Old gold,6075,N/A,N/A,N/A,Rehabilitation and Therapy:Communications:Biology:Criminal Justice and Safety Studies:Psychology:Information Science:Social Work and Youth Services:Elementary Education:Business:Accounting,"27,700",0.28,0.92,"7,611",25,0.09,N/A,alasu.edu/admissions/undergrad-admissions/index.aspx,12327.0
